show_id,country
s1,Canada
s2,India
s3,United States
s4,United States
s5,United Kingdom
s6,United Kingdom
s7,United States
s8,United States
s9,Canada
s10,United States
s11,Canada
s12,United States
s13,France
s14,Spain
s15,United Kingdom
s16,United States
s17,United States
s18,United States
s19,United States
s20,United States
s21,United States
s22,United States
s23,United States
s24,Italy
s25,United States
s26,United States
s27,United States
s28,United States
s29,United States
s30,United States
s31,United States
s32,United States
s33,United States
s34,United States
s35,United States
s36,United States
s37,United States
s38,United States
s39,United States
s40,United States
s41,United States
s42,United States
s43,United States
s44,United States
s45,United States
s46,United States
s47,United States
s48,United States
s49,United States
s50,United States
s51,United States
s52,United States
s53,United States
s54,United States
s55,United States
s56,United States
s57,United States
s58,United States
s59,United States
s60,United States
s61,United States
s62,United States
s63,United States
s64,United States
s65,United States
s66,United States
s67,United States
s68,United States
s69,United States
s70,United States
s71,United States
s72,United States
s73,United States
s74,United States
s75,United States
s76,United States
s77,United States
s78,United States
s79,United States
s80,United States
s81,United States
s82,United States
s83,United States
s84,United States
s85,United States
s86,United States
s87,United States
s88,United States
s89,United States
s90,United States
s91,United States
s92,United States
s93,United States
s94,United States
s95,United States
s96,United States
s97,United States
s98,United States
s99,United States
s100,United States
s101,United States
s102,United States
s103,United States
s104,United States
s105,United States
s106,United States
s107,United States
s108,India
s109,United States
s110,United States
s111,United States
s112,United States
s113,United States
s114,United States
s115,United States
s116,United States
s117,United States
s118,United States
s119,United States
s120,United States
s121,United States
s122,United States
s123,United States
s124,United States
s125,United States
s126,United States
s127,United States
s128,United States
s129,United States
s130,United States
s131,United States
s132,United States
s133,United States
s134,United States
s135,United States
s136,United States
s137,United States
s138,United States
s139,United States
s140,United States
s141,United States
s142,United States
s143,India
s144,United States
s145,United States
s146,United States
s147,United States
s148,United States
s149,United States
s150,United States
s151,United States
s152,United States
s153,United States
s154,United States
s155,United States
s156,United States
s157,United States
s158,United States
s159,United States
s160,United States
s161,United States
s162,United States
s163,United States
s164,United States
s165,United States
s166,"United Kingdom, France"
s167,United States
s168,United States
s169,United States
s170,United States
s171,United States
s172,United States
s173,United States
s174,United States
s175,United States
s176,"United States, Italy"
s177,United States
s178,United States
s179,India
s180,United States
s181,India
s182,United States
s183,United States
s184,United States
s185,United States
s186,United States
s187,United States
s188,United States
s189,United States
s190,India
s191,United States
s192,United States
s193,United States
s194,"United States, India"
s195,United States
s196,United States
s197,United States
s198,United States
s199,United States
s200,United States
s201,United States
s202,United States
s203,United States
s204,United States
s205,United States
s206,United States
s207,United States
s208,United States
s209,United States
s210,United States
s211,United States
s212,United States
